scope,method,heldout_center,k,n_decisions,mean_oracle_gap_pct,max_oracle_gap_pct,high_regret_rate_gt1,high_regret_rate_gt2,high_regret_rate_gt5
by_center_k,static_embedding_routing,4,4,9,1.1202858183995708,7.094379847337928,0.2222222222222222,0.2222222222222222,0.1111111111111111
by_center_k,static_embedding_routing,4,8,9,2.9875885436988927,8.978022395569505,0.4444444444444444,0.4444444444444444,0.4444444444444444
by_k,conservative_support_nelbo,,16,45,0.3380555339517799,11.124944794484579,0.044444444444444446,0.044444444444444446,0.022222222222222223
by_k,conservative_support_nelbo,,32,45,0.14034944450005946,2.2286082906311027,0.044444444444444446,0.044444444444444446,0.0
by_k,conservative_support_nelbo,,4,45,0.9168229606000745,9.858992544040733,0.2,0.15555555555555556,0.06666666666666667
by_k,conservative_support_nelbo,,8,45,1.210563645476972,18.8762870033989,0.15555555555555556,0.13333333333333333,0.08888888888888889
by_k,direct_support_nelbo,,16,45,0.3380555339517799,11.124944794484579,0.044444444444444446,0.044444444444444446,0.022222222222222223
by_k,direct_support_nelbo,,32,45,0.14034944450005946,2.2286082906311027,0.044444444444444446,0.044444444444444446,0.0
by_k,direct_support_nelbo,,4,45,0.9168229606000745,9.858992544040733,0.2,0.15555555555555556,0.06666666666666667
by_k,direct_support_nelbo,,8,45,0.7910906009569965,10.736206741031717,0.13333333333333333,0.1111111111111111,0.06666666666666667
by_k,metadata_routing,,16,45,4.104637900704545,14.225120600713417,0.6,0.5555555555555556,0.4444444444444444
by_k,metadata_routing,,32,45,4.082539281977042,14.189334146634991,0.6,0.5777777777777777,0.4222222222222222
by_k,metadata_routing,,4,45,4.13736496864955,14.09456655069141,0.6,0.5333333333333333,0.4666666666666667
by_k,metadata_routing,,8,45,4.114496166726281,14.351276052302394,0.6,0.5555555555555556,0.4666666666666667
by_k,source_global_prior_routing,,16,45,7.849729895335157,19.05835220041051,0.7555555555555555,0.6888888888888889,0.6
by_k,source_global_prior_routing,,32,45,7.852674850623115,20.28755258794104,0.7555555555555555,0.6888888888888889,0.5777777777777777
by_k,source_global_prior_routing,,4,45,7.931923484800724,18.835951144572935,0.7777777777777778,0.7111111111111111,0.6444444444444445
by_k,source_global_prior_routing,,8,45,7.919430889210379,19.230550616816988,0.7777777777777778,0.7111111111111111,0.6444444444444445
by_k,static_embedding_routing,,16,45,3.647310491563969,15.067710164828163,0.4666666666666667,0.4444444444444444,0.4222222222222222
by_k,static_embedding_routing,,32,45,3.574122161840405,14.712750320169688,0.4666666666666667,0.4666666666666667,0.4222222222222222
by_k,static_embedding_routing,,4,45,2.592797554408985,15.051744647997815,0.37777777777777777,0.35555555555555557,0.3111111111111111
by_k,static_embedding_routing,,8,45,3.863138478955486,15.216847342574361,0.4888888888888889,0.4666666666666667,0.4666666666666667
overall,conservative_support_nelbo,,,180,0.6514478961322214,18.8762870033989,0.1111111111111111,0.09444444444444444,0.044444444444444446
overall,direct_support_nelbo,,,180,0.5465796350022276,11.124944794484579,0.10555555555555556,0.08888888888888889,0.03888888888888889
overall,metadata_routing,,,180,4.109759579514354,14.351276052302394,0.6,0.5555555555555556,0.45
overall,source_global_prior_routing,,,180,7.888439779992344,20.28755258794104,0.7666666666666667,0.7,0.6166666666666667
overall,static_embedding_routing,,,180,3.4193421716922114,15.216847342574361,0.45,0.43333333333333335,0.40555555555555556
