experiment_seed,heldout_center,support_size,support_seed,method,source_method,deterministic_selected_expert,oracle_expert,selection_stability,p_oracle_selected,p_eval_rank_le_2,mean_bootstrap_oracle_gap_pct,ci_low_oracle_gap_pct,ci_high_oracle_gap_pct,p_high_regret_gt_2,p_catastrophic_gt_5,p_selection_changed,mean_bootstrap_support_margin,margin_bin,split_id
43,0,16,31,direct_support_nelbo,support_set_nelbo_top1,3,3,0.9054,0.9054,0.9054,1.7902409143957247,0.0,18.924322562322672,0.0946,0.0946,0.0946,27.25385653038025,q3_mid_high,target0_seed31_random_k16
43,0,32,31,direct_support_nelbo,support_set_nelbo_top1,3,3,0.9658,0.9658,0.9658,0.6938342985075836,0.0,20.28755258794104,0.0342,0.0342,0.0342,26.661751877355577,q3_mid_high,target0_seed31_random_k32
43,1,4,17,direct_support_nelbo,support_set_nelbo_top1,3,3,0.7684,0.7684,0.9427,1.5558073923049263,0.0,9.455289603578459,0.2316,0.2316,0.2316,20.4285319896698,q2_mid_low,target1_seed17_random_k4
43,1,8,17,direct_support_nelbo,support_set_nelbo_top1,3,3,0.9849,0.9849,0.9926,0.112511802763025,0.0,0.0,0.0151,0.0151,0.0151,39.46978564338684,q4_high,target1_seed17_random_k8
43,1,16,17,direct_support_nelbo,support_set_nelbo_top1,3,3,0.998,0.998,0.999,0.014994523821138599,0.0,0.0,0.002,0.002,0.002,33.87184154729843,q4_high,target1_seed17_random_k16
43,1,32,17,direct_support_nelbo,support_set_nelbo_top1,3,3,0.9907,0.9907,0.9994,0.056401469983414415,0.0,0.0,0.0093,0.0093,0.0093,31.180908196401596,q4_high,target1_seed17_random_k32
43,1,4,23,direct_support_nelbo,support_set_nelbo_top1,3,3,0.9376,0.9376,0.9376,0.5852396402990153,0.0,9.378840389407298,0.0624,0.0624,0.0624,21.31006008682251,q2_mid_low,target1_seed23_random_k4
43,1,8,23,direct_support_nelbo,support_set_nelbo_top1,3,3,0.9968,0.9968,0.9991,0.021243507872244823,0.0,0.0,0.0032,0.0032,0.0032,24.99628437099457,q3_mid_high,target1_seed23_random_k8
43,1,16,23,direct_support_nelbo,support_set_nelbo_top1,3,3,0.8431,0.8431,0.8559,1.4334841151012288,0.0,9.441636371574042,0.1569,0.1569,0.1569,22.755983738803863,q3_mid_high,target1_seed23_random_k16
43,1,32,23,direct_support_nelbo,support_set_nelbo_top1,3,3,0.9439,0.9439,0.9451,0.5432720911492956,0.0,9.770339650117357,0.0561,0.0561,0.0561,24.667117498016356,q3_mid_high,target1_seed23_random_k32
43,1,4,31,direct_support_nelbo,support_set_nelbo_top1,2,3,0.6724,0.3276,0.3276,6.629186586612988,0.0,9.858992544040733,0.6724,0.6724,0.3276,66.291725025177,q3_mid_high,target1_seed31_random_k4
